time_sec_p1,time_sec_p2,time_sec_p3,time_min_total,videotime,yearDOB,gender,race,raceOther,state,education,income,adults,minors,frequencyPrior,frequencySince,platform,time,qID,respID,choice,altID,obsID,price,quantity,material,setOptions,set_price,total_price,material_Bamboo,material_Eco,material_Plastic,setOptions_f,setOptions_fk,setOptions_fks
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,11,2,2,1,2,10,20,200,Eco,fk,0.4,80,0,1,0,0,1,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,11,2,2,0,3,10,30,200,Plastic,fks,0.6,120,0,0,1,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,15,3,2,0,1,11,20,200,Bamboo,f,0.4,80,1,0,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,15,3,2,0,2,11,30,50,Eco,f,0.6,30,0,1,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,15,3,2,1,3,11,25,50,Plastic,fk,0.5,25,0,0,1,0,1,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,11,4,2,0,1,12,30,50,Bamboo,fk,0.6,30,1,0,0,0,1,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,11,4,2,1,2,12,30,50,Eco,f,0.6,30,0,1,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,11,4,2,0,3,12,30,150,Plastic,f,0.6,90,0,0,1,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,5,2,0,1,13,20,150,Bamboo,fks,0.4,60,1,0,0,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,5,2,1,2,13,25,150,Eco,fks,0.5,75,0,1,0,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,5,2,0,3,13,20,50,Plastic,fks,0.4,20,0,0,1,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,6,2,0,1,14,20,200,Bamboo,f,0.4,80,1,0,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,6,2,1,2,14,20,50,Eco,f,0.4,20,0,1,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,8,6,2,0,3,14,30,200,Plastic,fks,0.6,120,0,0,1,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,9,7,2,0,1,15,20,150,Bamboo,fks,0.4,60,1,0,0,0,0,1
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,9,7,2,1,2,15,20,50,Eco,f,0.4,20,0,1,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,9,7,2,0,3,15,20,200,Plastic,fk,0.4,80,0,0,1,0,1,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,5,8,2,1,1,16,20,200,Bamboo,f,0.4,80,1,0,0,1,0,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,5,8,2,0,2,16,30,50,Eco,fk,0.6,30,0,1,0,0,1,0
285,263,53,10.016666666666667,108,1992,woman,asian,NA,VA,degree_grad,incH_100to150,2,NA,month_2-3,week_1,takeout,5,8,2,0,3,16,20,200,Plastic,fk,0.4,80,0,0,1,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,29,1,3,0,1,17,20,150,Bamboo,f,0.4,60,1,0,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,29,1,3,1,2,17,30,200,Eco,fks,0.6,120,0,1,0,0,0,1
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,29,1,3,0,3,17,25,50,Plastic,fk,0.5,25,0,0,1,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,28,2,3,0,1,18,30,150,Bamboo,f,0.6,90,1,0,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,28,2,3,1,2,18,25,200,Eco,fk,0.5,100,0,1,0,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,28,2,3,0,3,18,25,150,Plastic,f,0.5,75,0,0,1,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,11,3,3,1,1,19,20,150,Bamboo,fks,0.4,60,1,0,0,0,0,1
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,11,3,3,0,2,19,25,50,Eco,f,0.5,25,0,1,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,11,3,3,0,3,19,20,150,Plastic,fk,0.4,60,0,0,1,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,15,4,3,1,1,20,20,50,Bamboo,fk,0.4,20,1,0,0,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,15,4,3,0,2,20,25,150,Eco,fk,0.5,75,0,1,0,0,1,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,15,4,3,0,3,20,20,50,Plastic,f,0.4,20,0,0,1,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,19,5,3,0,1,21,25,200,Bamboo,f,0.5,100,1,0,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,19,5,3,1,2,21,25,50,Eco,f,0.5,25,0,1,0,1,0,0
89,255,90,7.233333333333333,52,1985,man,asian,NA,VA,degree_bs,incH_100to150,2,NA,month_2-3,week_2-5,takeout,19,5,3,0,3,21,30,200,Plastic,f,0.6,120,0,0,1,1,0,0
